...1,grupo,separado_clasica,separado_arbol,magnitude
1,E1794D-G5,FALSE,TRUE,moderate
2,E1794D-G6,TRUE,TRUE,small
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,TRUE,large
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,small
7,G5-Q1785H,TRUE,FALSE,moderate
8,G5-R1753T,FALSE,FALSE,small
9,G5-V1804D,FALSE,TRUE,small
10,G6-Q1785H,FALSE,TRUE,moderate
11,G6-R1753T,FALSE,TRUE,moderate
12,G6-V1804D,FALSE,TRUE,small
13,Q1785H-R1753T,FALSE,FALSE,small
14,Q1785H-V1804D,TRUE,TRUE,moderate
15,R1753T-V1804D,TRUE,TRUE,moderate
1,E1794D-G5,TRUE,TRUE,moderate
2,E1794D-G6,TRUE,FALSE,small
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,FALSE,negligible
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,moderate
7,G5-Q1785H,TRUE,FALSE,moderate
8,G5-R1753T,FALSE,TRUE,small
9,G5-V1804D,FALSE,TRUE,moderate
10,G6-Q1785H,TRUE,TRUE,moderate
11,G6-R1753T,FALSE,FALSE,negligible
12,G6-V1804D,FALSE,FALSE,negligible
13,Q1785H-R1753T,FALSE,TRUE,small
14,Q1785H-V1804D,TRUE,TRUE,large
15,R1753T-V1804D,TRUE,FALSE,negligible
1,E1794D-G5,FALSE,TRUE,moderate
2,E1794D-G6,TRUE,FALSE,negligible
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,FALSE,small
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,small
7,G5-Q1785H,TRUE,FALSE,moderate
8,G5-R1753T,FALSE,TRUE,small
9,G5-V1804D,FALSE,TRUE,small
10,G6-Q1785H,FALSE,TRUE,moderate
11,G6-R1753T,FALSE,FALSE,negligible
12,G6-V1804D,TRUE,FALSE,negligible
13,Q1785H-R1753T,FALSE,TRUE,small
14,Q1785H-V1804D,TRUE,TRUE,large
15,R1753T-V1804D,TRUE,FALSE,negligible
1,E1794D-G5,TRUE,TRUE,large
2,E1794D-G6,TRUE,FALSE,negligible
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,TRUE,small
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,small
7,G5-Q1785H,FALSE,FALSE,moderate
8,G5-R1753T,FALSE,TRUE,small
9,G5-V1804D,FALSE,TRUE,moderate
10,G6-Q1785H,FALSE,TRUE,small
11,G6-R1753T,FALSE,TRUE,small
12,G6-V1804D,TRUE,FALSE,negligible
13,Q1785H-R1753T,FALSE,TRUE,moderate
14,Q1785H-V1804D,TRUE,TRUE,large
15,R1753T-V1804D,TRUE,TRUE,negligible
1,E1794D-G5,FALSE,TRUE,moderate
2,E1794D-G6,TRUE,FALSE,negligible
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,FALSE,negligible
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,small
7,G5-Q1785H,TRUE,FALSE,large
8,G5-R1753T,FALSE,TRUE,small
9,G5-V1804D,FALSE,TRUE,small
10,G6-Q1785H,FALSE,TRUE,moderate
11,G6-R1753T,FALSE,FALSE,negligible
12,G6-V1804D,TRUE,FALSE,negligible
13,Q1785H-R1753T,FALSE,TRUE,small
14,Q1785H-V1804D,TRUE,TRUE,large
15,R1753T-V1804D,TRUE,FALSE,negligible
1,E1794D-G5,TRUE,TRUE,moderate
2,E1794D-G6,TRUE,FALSE,negligible
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,FALSE,negligible
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,small
7,G5-Q1785H,FALSE,FALSE,moderate
8,G5-R1753T,FALSE,TRUE,small
9,G5-V1804D,FALSE,TRUE,small
10,G6-Q1785H,FALSE,TRUE,small
11,G6-R1753T,FALSE,FALSE,negligible
12,G6-V1804D,TRUE,FALSE,negligible
13,Q1785H-R1753T,FALSE,TRUE,small
14,Q1785H-V1804D,TRUE,TRUE,large
15,R1753T-V1804D,FALSE,FALSE,small
1,E1794D-G5,TRUE,TRUE,large
2,E1794D-G6,TRUE,FALSE,small
3,E1794D-Q1785H,TRUE,TRUE,large
4,E1794D-R1753T,TRUE,FALSE,negligible
5,E1794D-V1804D,FALSE,FALSE,negligible
6,G5-G6,FALSE,TRUE,small
7,G5-Q1785H,FALSE,FALSE,moderate
8,G5-R1753T,FALSE,TRUE,small
9,G5-V1804D,FALSE,TRUE,moderate
10,G6-Q1785H,FALSE,TRUE,moderate
