grupo,valor,gravedad
B,1.0148314545016146,B
B,0.7352265033016536,B
B,0.7898761073017733,B
B,0.7485652843062917,B
B,0.7998548891358171,B
B,0.8898065868324748,B
B,0.7824112293161241,B
B,0.945463283607024,B
B,0.7652044129450284,B
B,0.8964211302494853,B
B,0.9000410365328055,B
B,0.7010856446334749,B
B,0.8693869550652356,B
B,0.6084716027967284,B
B,0.7617034341123962,B
B,0.8610241854050871,B
B,0.707530299054502,B
B,0.8276110302840952,B
B,0.7299939768827676,B
B,0.7713333169233781,B
C,0.5225641805058736,C
C,0.6482178403540406,C
C,0.49779562250567494,C
C,0.5693285838995287,C
C,0.514308146000777,C
C,0.5463967001514166,C
C,0.6404661230984376,C
C,0.4569095680336366,C
C,0.5737569157484307,C
C,0.5003855360208042,C
C,0.5902276151127472,C
C,0.48009667113833,C
C,0.5722069935006714,C
C,0.5775655228686569,C
C,0.5654618884280402,C
C,0.6749328210557686,C
C,0.5485604357293311,C
C,0.6060150918327765,C
C,0.48743879445918936,C
C,0.628846678515632,C
I,0.8729996319544067,I
I,0.7398926355278064,I
I,0.8730542796087983,I
I,0.7641212425764559,I
I,1.0504685832172003,I
I,0.7772763551666744,I
I,0.8286990091970594,I
I,0.9411991845995165,I
I,0.8280650598090881,I
I,0.8082330555800264,I
I,0.7094343833843502,I
I,0.8739682731954893,I
I,0.8894359824242482,I
I,0.7735736792571906,I
I,0.9261793278646486,I
I,0.8533597699251068,I
I,0.8611149136104165,I
I,0.8561878995173302,I
I,0.9588353372215904,I
I,1.0013111808534383,I
P,0.5308590629296186,P
P,0.58363120323426,P
P,0.43018544283602145,P
P,0.40540031622873124,P
P,0.5985904754858028,P
P,0.6382874780825315,P
P,0.6023504471370361,P
P,0.5368013735725793,P
P,0.6517758468796898,P
P,0.6924322590265156,P
P,0.5038320202579473,P
P,0.5622366742341173,P
P,0.5610027828023619,P
P,0.48990171279730516,P
P,0.7158283926196533,P
P,0.574129797128688,P
P,0.5747552910188289,P
P,0.5180306563467852,P
P,0.5243024652127415,P
P,0.6974247283762047,P
G5,0.5500609380339098,G5
G5,0.6931894353102483,G5
G5,0.8143309867491152,G5
G5,0.8477655871569749,G5
G5,0.7732889582095676,G5
G5,0.7912935072108207,G5
G5,0.6494946613392768,G5
G5,0.6802084053293473,G5
G5,0.7353798979916103,G5
G5,0.6429645895955692,G5
G5,0.767523727360746,G5
G5,0.7578283479714973,G5
G5,0.7410013983272323,G5
G5,0.6774137958074451,G5
G5,0.6505071298600242,G5
G5,0.7377321830335741,G5
G5,0.7713021385491503,G5
G5,0.7668513572566866,G5
G5,0.5914989416345888,G5
G5,0.6961256632784999,G5
G6,0.6001234280995872,G6
G6,0.5936663353152054,G6
G6,0.3437154761193936,G6
G6,0.4790430647477955,G6
G6,0.5610460755414718,G6
G6,0.6079813652680235,G6
G6,0.5995908281616869,G6
G6,0.6010409167603544,G6
G6,0.5622620340631118,G6
G6,0.6009965825176107,G6
G6,0.6913390571961625,G6
G6,0.5318177584983849,G6
G6,0.5516022726180796,G6
G6,0.6155608121382914,G6
G6,0.6002479257823201,G6
G6,0.5345234430648668,G6
G6,0.6053747699664639,G6
G6,0.5424454704204597,G6
G6,0.6175424500754818,G6
G6,0.5795399591116501,G6
