grupo,valor,gravedad
B,0.8255654932219482,B
B,0.7870063701613793,B
B,0.8347504777154316,B
B,0.5394072296410766,B
B,0.7688061383464634,B
B,0.6681949484283656,B
B,0.7865163810336988,B
B,0.7646873578908141,B
B,0.8355826386524705,B
B,0.8757717880593618,B
B,0.830817237404545,B
B,0.6693716861236054,B
B,0.7549356899515965,B
B,0.8112307471513887,B
B,0.7796224949700155,B
B,0.72698996733079,B
B,0.9213375248906084,B
B,0.7293534852893601,B
B,0.703731843410978,B
B,0.7449890569361184,B
B,0.7810361063288265,B
B,0.9361100531935493,B
B,0.7916522564365489,B
B,0.7536565247778926,B
B,0.8607652762328682,B
B,0.7894823125815686,B
B,0.9321012196493226,B
B,0.8587771203025365,B
B,0.7274118217574143,B
B,0.7489521947256997,B
C,0.5042634683218227,C
C,0.5458217921640849,C
C,0.582736599997535,C
C,0.4537789696594901,C
C,0.5898610034574772,C
C,0.46273650935983635,C
C,0.6215174182530963,C
C,0.5761008748763301,C
C,0.5464447182310055,C
C,0.5794022683508258,C
C,0.476362544018219,C
C,0.54322491314304,C
C,0.5667612394732471,C
C,0.6240533224389226,C
C,0.6333908489207813,C
I,0.9505344057745495,I
I,0.9806765327843654,I
I,0.9433427212917775,I
I,1.0642936618339922,I
I,0.9009565755932685,I
I,1.0473936415065423,I
I,0.8517753794972552,I
I,0.7347619741131414,I
I,0.7922654158233974,I
I,0.6629845991862692,I
I,0.7154866936125602,I
I,0.8625520043321627,I
I,0.8761842085566663,I
I,0.7399266176641452,I
I,0.8046122111820837,I
I,0.9550064148792985,I
I,0.9875781043167484,I
I,0.8206230058160612,I
I,0.8823705159157931,I
I,0.9200303288923772,I
I,0.8953888051930257,I
I,0.9809157178441019,I
I,0.8806809577648267,I
I,0.9489918536087752,I
I,0.9146975192711002,I
P,0.5939174306611233,P
P,0.48399436579638344,P
P,0.45327353337639675,P
P,0.5917074862368633,P
P,0.6467232194340632,P
P,0.675787902727057,P
P,0.5079589443664458,P
P,0.46822260059751464,P
P,0.6104619304153358,P
P,0.6135866097663673,P
P,0.6161160968534549,P
P,0.5570620427787686,P
P,0.5670378213634086,P
P,0.47307105663521953,P
P,0.6741664436063299,P
P,0.46648119942345684,P
P,0.6777831081298212,P
P,0.5551894359465819,P
P,0.6078318890341053,P
P,0.6063823250114186,P
